address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),review_count,sentiment_score,popularity_score,food_mentions,ambiance_mentions,authenticity_mentions,service_mentions,value_mentions,food_score,ambiance_score,authenticity_score,service_score,value_for_money_score
"QSR -1, 3rd Floor, Vega City Mall, Srinivas Industrial Estate, Bannerghatta Road, Bangalore",Squeez Juice Bars,0,0,3.1,9,+91 8296756799,Bannerghatta Road,Food Court,[],"['Ice Cream', 'Juices']",250.0,Desserts,7,0.7828142857142857,0.14969921469353864,6,0,1,2,1,0.6104708333333333,0.5,0.89205,0.5,0.79635
"Mantri Elegance, BTM 2nd Stage, NS Palya, Bannerghatta Road, Bangalore",The Sandesh Factory,0,0,3.2,4,+91 9980995072,Bannerghatta Road,Sweet Shop,[],"['Mithai', 'Desserts']",150.0,Desserts,0,0.5,0.10801059173516521,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5
"Manpho Pavilion, Ranka Colony Road, Bilekahalli, Bannerghatta Road",Kopper Pot,0,0,3.5,0,+91 7406681110,Bannerghatta Road,Bakery,[],['Bakery'],500.0,Desserts,0,0.5,0.0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5
"172/1, 3rd Floor, Vega City Mall, Srinivas Industrial Estate, Bannerghatta Road, Bangalore",Smooth,0,0,3.7,0,+91 9380200963,Bannerghatta Road,Food Court,[],"['Desserts', 'Ice Cream']",200.0,Desserts,0,0.5,0.0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5
"1st Floor, Vega City Mall, Srinivas Industrial Estate, Bilekahalli, Bannerghatta Road, Bangalore",Cookie Man,1,0,3.606666666666667,0,+91 7259211420,Bannerghatta Road,Dessert Parlor,[],['Bakery'],150.0,Desserts,0,0.5,0.0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5
"Oracle Mantri, Commerce @ Mantri-4, 12/1 and 2, MS Palya, Bannerghatta Road, Bangalore",Oven Fresh,0,0,2.96,0,080 33013123,Bannerghatta Road,Bakery,[],"['Bakery', 'Fast Food']",600.0,Desserts,0,0.5,0.0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5
"K8, LG Floor, Vega City Mall, 172/1, Srinivas Industrial Estate, Bannerghatta Road, Bangalore",Mad Over Donuts,1,0,3.92972972972973,0,080 67922309,Bannerghatta Road,Dessert Parlor,[],"['Bakery', 'Desserts', 'Beverages']",450.0,Desserts,1,0.8631,0.0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5
"7, 9th Main, 5th Block, Jayanagar, Bangalore",Milano Ice Cream,0,0,4.5,208,080 43740749,Jayanagar,Dessert Parlor,"['Chocolate Sundae', 'Gelato Ice Cream', 'Tiramisu', 'Chocolate Truffle', 'Coffee']","['Ice Cream', 'Desserts']",400.0,Desserts,41,0.9674768292682927,0.5041801117813862,51,7,6,10,12,0.7922258564814815,0.56692,0.7048333333333333,0.6686166666666666,0.9068857142857143
"56/1, Sri Krishna Towers, 9th Main Road, 5th Block, Jayanagar, Bangalore",Thyme & Whisk,1,0,3.9,74,"+91 6360551369
+91 9741616018",Jayanagar,Casual Dining,"['Pizza', 'Momos', 'Pasta', 'Brownie', 'Nachos', 'Hot Chocolate', 'Waffles']","['Asian', 'Chinese', 'Continental', 'Italian']",800.0,Desserts,6,0.8587583333333333,0.35313266924672454,25,9,2,8,1,0.6042983333333334,0.7287520833333333,0.5912999999999999,0.6326041666666666,0.67
"1225, 26th Main, 9th Block, Jayanagar, Bangalore",Corner House Ice Cream,1,0,4.4,825,080 26540925,Jayanagar,Dessert Parlor,"['Hot Chocolate Fudge', 'Chocolate Malt', 'Thick Shakes', 'Chocolate Nut Sundae', 'Ice Cream Sundae', 'Fudge Cake', 'Coffee']","['Ice Cream', 'Desserts']",400.0,Desserts,8,0.79425625,0.6197891414150201,5,3,3,6,2,0.54933125,0.5733,0.81785,0.56517,0.6101
"26, 7th Main, 15th Cross, Mico Layout, 2nd Stage, BTM, Bangalore",Tempteys,1,0,4.2,249,"+91 7349760223
+91 9611856377",BTM,"Dessert Parlor, Beverage Shop","['Thick Shakes', 'Oreo Milkshake', 'Gelato', 'Oreo Shake', 'Choco Brownie', 'Caramel Coffee', 'Choco Shake']",['Beverages'],500.0,Desserts,3,0.80145,0.4863460941799255,2,0,1,0,0,0.779675,0.5,0.65835,0.5,0.5
"663, 11th Main, 34th Cross, 4th Block, Jayanagar, Bangalore",Bubblewrap Waffle Co.,1,0,4.4,359,+91 8861828672,Jayanagar,Dessert Parlor,"['Pizza Waffles', 'Sandwich', 'Hot Chocolate', 'Fries', 'Marshmallow', 'Cheesecake', 'Nutella Shake']","['Desserts', 'Beverages']",400.0,Desserts,106,0.9419509433962263,0.5431537091256659,149,31,2,47,45,0.7820111363636364,0.8207133333333334,0.9102,0.7881,0.7993587837837838
"57, 1st & 2nd Floor, SLV Arcade, 40th Cross, 5th Block, Jayanagar, Bangalore",Desi Rasoi,1,1,3.8,362,"+91 9611711911
+91 7829229366",Jayanagar,Casual Dining,"['Hara Bhara Kebab', 'Lunch Buffet', 'Naan', 'Babycorn Manchurian', 'Malai Kofta', 'Noodles', 'Gulab Jamun']","['Biryani', 'North Indian', 'Chinese', 'Rajasthani']",600.0,Desserts,10,0.750235,0.4697486592049783,25,12,1,8,6,0.6132004166666667,0.5512428571428571,0.7463500000000001,0.6511375,0.70961875
"542, Shravanthi Topaz, 10th East Main Road, 38th Cross Road, 5th Block, Jayanagar, Bengaluru",Ice Cream Works,1,0,4.1,193,"+91 9916701531
+91 9663317258",Jayanagar,Dessert Parlor,"['Paan Ice Cream', 'Madagascar Chocolate', 'Faluda', 'Cheesecake', 'Bubble Gum Ice Cream']","['Desserts', 'Ice Cream']",300.0,Desserts,7,0.9047428571428572,0.45296022632735583,9,7,0,8,0,0.5484416666666667,0.561135,0.5,0.6127208333333334,0.5
"156A, 43rd Cross, 2nd Main, Jayanagar 8th Block, Jayanagar, Bangalore",The Ganache Factory,0,0,4.2,127,+91 8971485815,Jayanagar,Delivery,"['Red Velvet', 'Lime Pie', 'Nutella Cheesecake', 'Blueberry Cheesecake', 'Salted Caramel Brownie', 'Dessert Jar']","['Desserts', 'Bakery']",400.0,Desserts,4,0.947225,0.4273807245589875,7,1,0,2,2,0.5945,0.42345,0.5,0.623475,0.585
"Ground floor, Eight-O-Four Avenue, 9th main road, 4th block, Jayanagar, Bangalore",Starbucks,0,0,4.1,108,,Jayanagar,Cafe,['Coffee'],"['Cafe', 'Desserts']",700.0,Desserts,6,0.8103083333333334,0.4033886134270398,5,5,0,2,1,0.3222625,0.8324666666666667,0.5,0.80135,0.892
"69/A, BHCS Layout, 2nd Stage, 2nd Cross, BTM, Bangalore",Shri Ram Sweet Centre,0,0,4.0,160,"080 26783426
+91 8050718410",BTM,"Quick Bites, Sweet Shop","['Samosa', 'Dhokla', 'Ladoo', 'Sweet Kachori', 'Onion Kachori', 'Ghee Jalebi']","['Street Food', 'Mithai']",150.0,Desserts,2,0.753725,0.4262710975578688,2,0,2,1,1,0.635275,0.5,0.623475,0.38685,0.6366
"22, Ground Floor, 7th Cross, 1st B Main, 2nd Stage, BTM, Bangalore",Waffle Stories,1,0,4.0,71,+91 9916992866,BTM,Dessert Parlor,"['Waffles', 'Brownie Sundae']","['Desserts', 'Beverages']",300.0,Desserts,12,0.8876458333333332,0.3587628595361942,10,6,2,7,3,0.7291892857142857,0.845,0.755,0.7728125,0.5749
"39, 11th Main, 33rd Cross, T Block, Jayanagar, Bangalore",Iyengar Bakery,1,0,3.7,28,"080 26633115
+91 8861851515",Jayanagar,"Bakery, Quick Bites",[],"['Bakery', 'Fast Food', 'Desserts', 'Beverages']",200.0,Desserts,22,0.7469954545454546,0.2612914122138853,11,2,0,9,0,0.684515,0.98085,0.5,0.8291249999999999,0.5
"458, 2nd Main Road, Mico Layout, Stage 1, BTM, Bangalore",Bun Town,1,0,4.0,204,080 26686499,BTM,"Cafe, Bakery","['Tea', 'Chocolate Muffin', 'Veg Burger', 'Coffee', 'Burgers', 'Brownie', 'Donut']","['Cafe', 'Bakery']",500.0,Desserts,16,0.89139375,0.446539016212648,21,9,3,12,7,0.6654258928571428,0.76341875,0.8228333333333333,0.8404642857142857,0.799
"734, Marenahalli Rd, 8th Block, Shakambari Nagar, 1st Phase, Jayanagar, Bangalore",Healthy Bakes 'n' Brew,1,0,3.8,0,+91 9845285003,Jayanagar,Bakery,[],['Bakery'],150.0,Desserts,0,0.5,0.0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5
"1478/1, 18th Main, 40th Cross, 4th T Block, Jayanagar, Bangalore",Tummy Fuel,1,0,4.2,450,"+91 9008558558
+91 9845792610",Jayanagar,Cafe,"['Sandwiches', 'Salads', 'Panipuri', 'Gol Gappe', 'Pizza Sandwich', 'Cheesy Pizza', 'Pancakes']","['Cafe', 'Beverages', 'Fast Food']",400.0,Desserts,5,0.9691,0.538315549904516,7,6,2,5,1,0.7744166666666668,0.7921499999999999,0.7635875,0.7923583333333333,0.88915
"510, Marenahalli Road, TMC Layout, 5th Block, Jayanagar, Bangalore",Bakers77,1,0,4.0,37,+91 9148187777,Jayanagar,"Bakery, Quick Bites",[],"['Bakery', 'Fast Food']",400.0,Desserts,5,0.94305,0.305151437160349,6,3,2,0,0,0.680425,0.784975,0.866225,0.5,0.5
"1, 7th Main Rd, NS Palya, Stage 2, BTM 2nd Stage, Bengaluru, Karnataka",Warm Oven,1,0,3.9,34,"+91 8880233233
+91 8197170008",BTM,Bakery,[],"['Bakery', 'Desserts']",500.0,Desserts,1,0.7392,0.29079629591072076,1,0,0,0,0,0.5,0.5,0.5,0.5,0.5
"544, 6th Main, 11th Cross, BTM layout, 2nd stage, BTM, Bangalore",LayerBite,1,0,3.8,10,080 49577975,BTM,Bakery,[],"['Bakery', 'Desserts', 'Beverages']",450.0,Desserts,2,0.996875,0.19109791457805508,4,0,0,1,1,0.741525,0.5,0.5,0.98305,0.98305
"20, 33rd Cross, 11th Main, 4th Block, Jayanagar, Bangalore",Ibaco,1,0,4.0,129,+91 8970190007,Jayanagar,Dessert Parlor,"['Icecream Cake', 'Brownie', 'Hot Chocolate', 'Belgian Chocolate', 'Salted Caramel']",['Desserts'],300.0,Desserts,1,0.9854,0.40832988354446437,1,0,0,0,0,0.7202,0.5,0.5,0.5,0.5
"733/A, 10th Main, 4th block Jayanagar",Baker's Glove,1,0,3.4,8,"080 43943777
+91 8073806094",Jayanagar,"Bakery, Quick Bites",[],"['Desserts', 'Bakery']",550.0,Desserts,3,0.9358333333333333,0.15667348535060616,4,2,0,3,2,0.656065,0.74835,0.5,0.582225,0.431125
"9th Block, Near Central Mall, Jayanagar, Bangalore",Ice Stone Creamery,1,0,3.7,42,+91 9008712244,Jayanagar,Dessert Parlor,[],"['Desserts', 'Ice Cream']",400.0,Desserts,55,0.74318,0.29185712793536983,27,32,29,73,23,0.6570208333333334,0.6421233333333334,0.6002163793103449,0.680679761904762,0.7205977272727273
"301A, 9th Main, 4th Block, Jayanagar, Bangalore",Sri Venkateshwara Sweet Meat Stall,0,0,4.1,201,080 22445501,Jayanagar,Quick Bites,"['Paratha', 'Rasgulla Chaat', 'Mysore Pak', 'Panipuri', 'Pav Bhaji', 'Malai Kulfi', 'Mango Lassi']",['Street Food'],250.0,Desserts,4,0.9400625,0.45643486688877966,5,0,0,0,0,0.6402,0.5,0.5,0.5,0.5
"1532/15, 39th E Cross, Jayanagar, Bangalore",Bunny Bakers,0,0,3.6,31,+91 9341255773,Jayanagar,Bakery,[],"['Bakery', 'Fast Food']",250.0,Desserts,13,0.8013038461538462,0.26166166809733926,10,2,5,1,2,0.6631416666666666,0.6727,0.6645875,0.5,0.8331500000000001
"668, Ground Floor, 7th Main, N.S Palya",Sri Devi Baker's,0,0,3.9,41,+91 9972622239,BTM,"Bakery, Quick Bites","['Ginger Tea', 'Chai', 'Coffee']","['Bakery', 'Street Food']",200.0,Desserts,1,0.8753,0.30570860054683774,1,0,0,0,0,0.5,0.5,0.5,0.5,0.5
"01, 100 Feet Ring Road, 1st Phase, BTM 2nd stage, Bangalore",Juice Shop,1,0,3.6,22,080 43334321,BTM,"Takeaway, Delivery",[],"['Juices', 'Beverages', 'Ice Cream']",150.0,Desserts,14,0.42667857142857146,0.23672855343270818,7,0,0,0,0,0.5409833333333334,0.5,0.5,0.5,0.5
"Vaibhavi Complex, 4th Main, NS Palya, 2nd Stage, BTM, Bangalore",BTM Cakes,1,0,3.3,8,+91 7204661011,BTM,Bakery,[],"['Bakery', 'Desserts']",400.0,Desserts,3,0.47046666666666664,0.1520654416638236,2,0,0,0,0,0.4557,0.5,0.5,0.5,0.5
"22, Ground Floor, 7th Cross, 1st B Main, 2nd Stage, BTM, Bangalore",Freeze It,1,0,3.6,6,+91 9916992866,BTM,Dessert Parlor,[],['Ice Cream'],300.0,Desserts,4,0.8875625,0.1469154343693737,5,5,0,2,2,0.69715,0.791075,0.5,0.8037000000000001,0.708475
"Eden Park Restaurants, 722/2, 36th Cross, 10th 'A' Main, Near Telephone Exchange, 4th Block, Jayanagar, Bangalore",Divina - Eden Park Restaurants,0,0,4.0,147,+91 8880845845,Jayanagar,Dessert Parlor,"['Apple Pie', 'New York Cheesecake']",['Desserts'],400.0,Desserts,3,0.73635,0.4192083541600995,4,1,1,3,2,0.6563666666666667,0.5,0.9691000000000001,0.62135,0.677925
"9th Block, Jayanagar, Bangalore",Lakshmi Sweets,0,0,3.8,0,"+91 9482790798
+91 7795297878",Jayanagar,Sweet Shop,[],['Mithai'],250.0,Desserts,0,0.5,0.0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5
"294, 7th Main, 7th Cross, BTM 2nd Stage, BTM, Bangalore",Shagun Sweets & Foods,1,0,3.5,221,"080 42277117
+91 9108457117",BTM,"Sweet Shop, Quick Bites","['Chaat', 'Chole Bhature', 'Raj Kachori', 'Thali', 'Rasmalai', 'Paratha', 'Pav Bhaji']","['Mithai', 'North Indian', 'Street Food', 'Chinese']",400.0,Desserts,12,0.8840833333333333,0.39656941672318763,14,5,3,4,6,0.6027489583333333,0.7635833333333333,0.62655,0.60024375,0.6297916666666666
"320/B, 9th Main Road, 5th Block, Jayanagar, Bangalore",Jodhpur Sweets,0,0,2.9,10,+91 9343793439,Jayanagar,Sweet Shop,[],"['Mithai', 'Street Food', 'Rajasthani']",150.0,Desserts,3,0.69335,0.14583788217798943,6,1,1,1,1,0.6370625,0.67,0.5,0.67,0.67
"1816, 41st Cross, 9th Block, Jayanagar, Bangalore",Fudge,1,0,3.2,12,"+91 8105952525
+91 9886509666",Jayanagar,Dessert Parlor,[],"['Desserts', 'Momos']",200.0,Desserts,2,0.442875,0.17213568521643488,1,0,1,1,0,0.5,0.5,0.623175,0.32999999999999996,0.5
"649, VP Complex, Next To Axis Bank, 11th Marenhalli Main Road, 5th Block, Jayanagar, Bangalore",Cake Chemistry,1,0,3.8,0,"+91 8296050786
+91 8041149799",Jayanagar,Bakery,[],"['Bakery', 'Desserts']",500.0,Desserts,0,0.5,0.0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5
"Jayanagar, Bangalore",Fitbakes,0,0,3.6,13,+91 9620462376,Jayanagar,Delivery,[],"['Bakery', 'Healthy Food']",400.0,Desserts,4,0.9535374999999999,0.19924776798884156,8,0,1,0,1,0.7311083333333334,0.5,0.903725,0.5,0.648
"21,7th Main Road,NS Palya, BTM 2nd stage, BTM, Bangalore",Bangali Babu Restaurant,0,0,3.2,0,+91 9844969288,BTM,Sweet Shop,[],"['Mithai', 'Desserts', 'Fast Food']",250.0,Desserts,1,0.82985,0.0,1,0,1,0,1,0.29905000000000004,0.5,0.8982,0.5,0.8982
"398, 7th Cross, MICO Layout, 2nd Stage",Gelato Pazzo,0,0,3.8,47,+91 9448975047,BTM,Dessert Parlor,[],['Desserts'],200.0,Desserts,20,0.675555,0.30851157199773244,8,5,4,8,8,0.547175,0.7656000000000001,0.6191125000000001,0.7217428571428571,0.7330375
"1505/29, 25th Main, Below Canara Bank, Jayanagar 9th Block, Jayanagar, Bangalore",A1 Express,0,0,3.8,0,+91 7708003004,Jayanagar,Bakery,[],['Bakery'],300.0,Desserts,0,0.5,0.0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5
"01, 1st maim NS palya industrial area BTM, Bangalore",Wow Lassi House,0,0,3.6,0,+91 9611731351,BTM,Beverage Shop,[],"['Beverages', 'Desserts']",200.0,Desserts,0,0.5,0.0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5
"663/52, 11th Main, 34th Cross, Jayanagar 4th Block, Bangalore, Bangalore,",Kulfreeze,0,0,3.9,16,+91 9641031000,Jayanagar,Dessert Parlor,[],"['Ice Cream', 'Desserts']",200.0,Desserts,4,0.944625,0.23173200815428163,5,5,1,3,0,0.7655888888888889,0.6288166666666667,0.7499666666666667,0.639225,0.5
"1328, 41th Cross, 24th A Main Road, 9th Block, Jayanagar, Bangalore",Adiga Sweets,0,0,3.8,0,+91 9480494280,Jayanagar,Takeaway,[],"['Mithai', 'Beverages']",200.0,Desserts,0,0.5,0.0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5
"1293, 25th Main Road, Opposite Central Mall Road, Opposite KC Das 9th Block, Jayanagar, Bangalore",Juice And Joy,0,0,3.8,0,+91 9964026247,Jayanagar,"Beverage Shop, Quick Bites",[],"['Beverages', 'Fast Food']",150.0,Desserts,1,0.18930000000000002,0.0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5
"1382, East End Circle, 9th Block, Jayanagar, Bangalore",World Of Sweets And Cakes,0,0,3.8,0,"+91 8041482328
+91 9845018481",Jayanagar,"Bakery, Sweet Shop",[],"['Bakery', 'Mithai']",200.0,Desserts,0,0.5,0.0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5
"437, 38th B Cross Road, 9th Block, Jayanagar, Bangalore",Heritage Cafe,1,0,3.6,11,+91 9066760892,Jayanagar,Quick Bites,[],"['Fast Food', 'Tea']",200.0,Desserts,5,0.82386,0.18760945360102133,0,3,2,2,2,0.5,0.6585833333333333,0.7378750000000001,0.7463500000000001,0.5
"439, Ground Floor, 6th Main, 7th Cross, BTM 2nd Stage, Bengaluru",Pabrai's Fresh and Naturelle Icecreams,0,0,3.7,118,+91 9591461292,BTM,Dessert Parlor,"['Apple Pie Ice Cream', 'Nolen Gur', 'Paan Ice Cream', 'Chocolate Fudge', 'Gur Ice Cream']","['Ice Cream', 'Desserts']",300.0,Desserts,4,0.8341625,0.3708447340858329,5,0,0,0,1,0.585195,0.5,0.5,0.5,0.5
"1617, Near SBI, 1st Stage, 50 Feet Road, Kumaraswamy Layout, Bangalore",Shri Lakshami Venkateshwara Iyengar's Bakery,0,0,3.5,11,"080 22909205
+91 9482537773",Kumaraswamy Layout,"Bakery, Dessert Parlor",[],['Bakery'],250.0,Desserts,4,0.7607999999999999,0.18239807988988183,6,1,1,0,0,0.6138875,0.39885,0.39885,0.5,0.5
"32-A, 1st Stage, Opposite SBI Bank, Kumaraswamy Layout, Bangalore",Shree Maruthi Sweets,0,0,3.2,4,+91 8147705040,Kumaraswamy Layout,Sweet Shop,[],"['Mithai', 'Street Food']",250.0,Desserts,1,0.91865,0.10801059173516521,2,0,0,1,0,0.6852750000000001,0.5,0.5,0.5386,0.5
"01, 100 Feet Ring Road, 1st Phase, BTM 2nd stage, Bangalore",Watheen Nuts,0,0,3.6,0,,BTM,"Takeaway, Delivery",[],['Desserts'],400.0,Desserts,0,0.5,0.0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5
"1292, 25th Main Road, 9th Block, Jayanagar, Bangalore",Mother Nature Kulfi,0,0,3.6,10,080 49712321,Jayanagar,Dessert Parlor,[],"['Desserts', 'Ice Cream']",200.0,Desserts,4,0.9537375,0.18104012960026272,7,1,2,1,2,0.7616583333333333,0.7202,0.754275,0.7202,0.8091
"Dayanand Sagar College Road, Teachers Colony, Bendre Nagar, Kumaraswamy Layout, Bangalore",Dessi Cuppa,0,0,3.5,0,"+91 9945077001
+91 7026571294",Kumaraswamy Layout,Dessert Parlor,[],['Drinks Only'],150.0,Desserts,0,0.5,0.0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5
"1481, New 23, South End, 9th Block, Jayanagar, Bangalore",Cafe Coffee Day,0,0,3.5,7,+91 9379467259,Jayanagar,Cafe,[],"['Cafe', 'Fast Food']",900.0,Desserts,4,0.9718125,0.15263597305678123,5,1,0,0,3,0.7713625,0.8982,0.5,0.5,0.556575
"86, 6th Cross Road, Kuvempu Nagar, Stage 2, Kodihalli, BTM, Bangalore",Sofiya Cakes,0,0,3.6,0,+91 9945140333,BTM,Bakery,[],"['Bakery', 'Desserts']",300.0,Desserts,1,0.8882,0.0,1,0,0,0,0,0.8882,0.5,0.5,0.5,0.5
"27th Main Road, 9th Block, Jayanagar, Bangalore",Candy Cake,0,0,3.4,0,+91 9738122682,Jayanagar,Bakery,[],['Bakery'],500.0,Desserts,1,0.9063,0.0,0,0,1,0,1,0.5,0.5,0.5,0.5,0.5
"New 68, Old 301-B, 10th Main Road, 36th Cross, 5th Block, Jayanagar",The Table,0,0,3.8666666666666663,0,+91 8939076600,Jayanagar,Bakery,[],"['Bakery', 'Desserts']",400.0,Desserts,0,0.5,0.0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5
"12, Aayee Matha Temple Rd, Vinayaka Nagar, Muneswara Nagar, Sector 6, HSR, Bangalore",Sree Balaji Sweets Shop,0,0,3.7,0,+91 7732916936,HSR,Sweet Shop,[],"['Mithai', 'Street Food']",250.0,Desserts,0,0.5,0.0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5
"Near Bank Of India ATM, Ramka Colony, Bilekahalli, Marathahalli, Bangalore",Mumbai Kulfi,1,0,3.9,0,+91 9739013139,Marathahalli,Dessert Parlor,[],"['Desserts', 'Ice Cream']",200.0,Desserts,1,0.5,0.0,1,0,0,0,0,0.5,0.5,0.5,0.5,0.5
"7/31, 7th Cross Road, Stage 2, BTM, Bangalore",Rock Stone Ice Cream Factory,1,0,4.0,130,"+91 8217517683
+91 9916997290",BTM,Dessert Parlor,"['Icecream Cake', 'Brownie', 'Waffles', 'Chocolate Icecreams', 'Thick Shakes']",['Ice Cream'],230.0,Desserts,7,0.9307142857142857,0.4089727100036631,6,4,2,6,0,0.6698500000000001,0.7321375,0.739325,0.7512166666666666,0.5
"68, 10th Main Road, 36th Cross, 5th Block, Jayanagar, Bangalore",Pop Hop,1,0,4.1,205,+91 8049706199,Jayanagar,Dessert Parlor,"['Choco Hazelnut', 'Belgian Chocolate', 'Strawberry Sorbet', 'Mango Sorbet', 'Mango Cheesecake', 'Mojito', 'Belgium Chocolate']","['Ice Cream', 'Desserts']",300.0,Desserts,7,0.8517,0.4581209141151521,8,2,2,4,4,0.635409,0.7364999999999999,0.704325,0.6411333333333333,0.87235
"45, 100 Feet Road, Opposite Mandovi Motors, 4th Phase, JP Nagar, Bangalore",Crumb Together,1,1,4.1,590,080 49652428,JP Nagar,"Casual Dining, Bar","['Stuffed Chicken', 'Malai Broccoli', 'Cocktails', 'Salad', 'Mocktails', 'Tomato Soup', 'Biryani']","['Continental', 'Finger Food', 'North Indian', 'Chinese']",1200.0,Dine-out,337,0.8119304154302671,0.5487446207431305,629,275,61,286,53,0.6845060069444444,0.7074930288461538,0.9183389344262294,0.6343179078014185,0.72938
"607, 15th Cross, Outer Ring Road, 1st Phase, JP Nagar, Bangalore",The Pump House,0,0,4.3,680,+91 9606127666,JP Nagar,Microbrewery,"['Beer', 'Cocktails', 'Nachos', 'Pizza', 'Tiramisu', 'Fries', 'Stout']","['Continental', 'Finger Food']",1500.0,Dine-out,88,0.7870011363636364,0.5882953420605893,234,122,38,130,72,0.6136284468438538,0.7263985714285714,0.477625,0.5666333333333333,0.7014203125
"24th Main, 7th Phase, Opposite Brigade Palm Springs, JP Nagar, Bangalore",Brahma Brews,0,1,3.7,0,080 49653204,JP Nagar,"Microbrewery, Casual Dining","['Beer', 'Cocktails', 'Pizza', 'Peri Chicken', 'Tiramisu', 'Peri Peri Fries', 'Belgian Wit']","['Continental', 'South Indian', 'Finger Food', 'Pizza', 'Seafood']",1400.0,Dine-out,225,0.9512017777777777,0.0,278,442,44,352,1,0.7125701264880953,0.7344825966850828,0.7340375,0.8698291044776119,0.5
"57, 1st Main Rd, Sarakki Industrial Layout, 3rd Phase, JP Nagar, Bengaluru",Levitate Brewery and Kitchen,0,1,4.5,0,080 49653113,JP Nagar,"Microbrewery, Casual Dining","['Wheat Beer', 'Tiramisu', 'Lager', 'Rustica Pizza', 'Paneer Lollipop', 'Chicken Peri Peri Kebab', 'Nachos']","['Finger Food', 'North Indian', 'Continental']",1500.0,Dine-out,147,0.7620581632653061,0.0,378,328,46,191,46,0.6402056972789115,0.816071768707483,0.8932875000000001,0.9140477499999999,0.6046315217391305
"1231/35/2, 24th Main, 7th Phase, Opposite Brigade Palm Springs, JP Nagar, Bangalore",Hakuna Matata,0,0,4.5,2800,"+91 9741133866
+91 9880548165",JP Nagar,"Casual Dining, Bar","['Mocktails', 'Cocktails', 'Appam', 'Paneer Satay', 'Sea Food', 'Paneer Tikka', 'Jeera Rice']","['North Indian', 'Asian', 'Seafood', 'Chinese']",1200.0,Dine-out,326,0.9397279141104293,0.7491194494746234,607,470,40,384,98,0.748585071884984,0.7932613908872902,0.74803375,0.8015082905982907,0.719499418604651
"67, 15th Cross, 6th B Main, JP Nagar, Bangalore",Barbeque Nation,0,1,4.7,3855,+91 8064806060,JP Nagar,Casual Dining,"['Lunch Buffet', 'Goan Fish Curry', 'Mocktails', 'Chicken Biryani', 'Cocktails', 'Paan Kulfi', 'Pasta']","['North Indian', 'European', 'Mediterranean', 'BBQ', 'Kebab']",1600.0,Dine-out,190,0.9320405263157894,0.8139215849562003,451,68,53,230,57,0.7698802106741574,0.758975,0.8247080188679244,0.7712775961538461,0.723875
"281, 2nd Floor, 15th Cross, 5th Phase, JP Nagar, Bangalore",Sattvam,0,0,4.3,357,"080 26595000
+91 9483275526",JP Nagar,Casual Dining,"['Noodles', 'Veg Buffet', 'Mango Juice', 'White Pasta', 'Panipuri', 'Thin Crust Pizza', 'Dal Makhani']","['North Indian', 'South Indian']",1200.0,Dine-out,72,0.8148319444444445,0.5303069093817115,227,67,5,86,22,0.6006083450704226,0.5935205,0.78117,0.7502065384615384,0.8114394736842104
"55, 5th Floor, Goenka Chambers, 19th Main Road, Jeewan Griha Colony, Phase 2, JP Nagar, Bangalore",Brewsky,1,1,4.3,4321,"+91 9880438170
+91 9880661701",JP Nagar,Microbrewery,"['Pork Chops', 'Craft Beer', 'Chicken Biryani', 'Chowmein', 'Cocktails', 'Mocktails', 'Drunken Chicken Wings']","['Continental', 'American']",1600.0,Dine-out,332,0.9356408132530121,0.7549401165981644,694,669,70,558,147,0.7213192960288809,0.8485607238247863,0.8741271428571429,0.6962183854166667,0.7705363095238096
"6th Floor, Bangalore Central Mall, JP Nagar, Bangalore",Village - The Soul of India,0,1,4.1,2461,"080 43283012
+91 9663924344",JP Nagar,Casual Dining,"['Chaat', 'Pav Bhaji', 'Pakoda', 'Phirni', 'Veg Buffet', 'Jalebi', 'Gulab Jamun']","['Rajasthani', 'Gujarati', 'North Indian', 'South Indian']",1000.0,Dine-out,85,0.9496629411764705,0.671438692407944,235,136,17,62,1,0.6516826543209877,0.6789963991769548,0.672434375,0.6965290000000001,0.14575
